18.448   16.164   0.272   1.131   26.728   60.000   0.027   29.121   30.375   4580.002   4777.203   0.287   0.256   1.450   -61.500   0.534   5.612   0.318   73.050   29.711   
18.770   16.486   0.271   1.135   26.729   60.000   0.027   28.887   30.828   4488.886   4790.512   0.287   0.256   1.450   -61.000   0.559   5.612   0.322   73.688   30.742   
19.096   16.812   0.271   1.140   26.730   60.000   0.028   28.655   31.264   4397.034   4797.468   0.287   0.256   1.450   -60.500   0.585   5.613   0.326   74.325   31.799   
19.426   17.142   0.270   1.144   26.731   60.000   0.029   28.426   31.684   4304.638   4798.019   0.287   0.256   1.450   -60.000   0.612   5.613   0.330   74.962   32.881   
19.761   17.477   0.270   1.149   26.732   60.000   0.030   28.202   32.087   4211.907   4792.119   0.287   0.256   1.450   -59.500   0.640   5.613   0.335   75.596   33.991   
20.101   17.817   0.269   1.154   26.725   60.000   0.031   27.917   32.537   4109.410   4789.509   0.287   0.256   1.450   -59.000   0.671   5.610   0.340   76.317   35.284   
20.445   18.161   0.269   1.159   26.717   60.000   0.032   27.638   32.965   4007.052   4779.387   0.287   0.256   1.449   -58.500   0.703   5.607   0.345   77.033   36.609   
20.796   18.512   0.268   1.165   26.710   60.000   0.033   27.367   33.370   3905.124   4761.777   0.288   0.256   1.449   -58.000   0.736   5.604   0.350   77.744   37.966   
21.152   18.868   0.268   1.170   26.701   60.000   0.034   27.103   33.750   3803.925   4736.727   0.288   0.256   1.449   -57.500   0.769   5.601   0.356   78.448   39.354   
21.515   19.231   0.267   1.175   26.693   60.000   0.035   26.850   34.103   3703.766   4704.318   0.288   0.256   1.448   -57.000   0.804   5.597   0.362   79.143   40.772   
21.884   19.600   0.267   1.181   26.684   60.000   0.037   26.608   34.429   3604.960   4664.662   0.288   0.256   1.448   -56.500   0.839   5.593   0.369   79.827   42.218   
22.260   19.976   0.266   1.186   26.674   60.000   0.038   26.379   34.726   3507.817   4617.914   0.288   0.256   1.447   -56.000   0.875   5.589   0.376   80.498   43.688   
